Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,UM1515IA085008,1,Buzzer,
"C1, C2",0603,2,2.2u,
"C10, C11, C14, C15, C18, C20, C21, C23, C3, C4, C5, C6, C7, C8, C9",0603,15,0.1u,
"C16, C19",CP_Elec_6.3x5.4,2,100u,
D1,SOT-523,1,BAT54ST,
"D2, D3, D4",0603,3,LED_Small,
"J1, J11",JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,2,PH_6p,
"J10, J9",JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,2,PH_5p,
J13,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,1,PH_8p,
"J2, J3",PinHeader_2x05_P1.00mm_Vertical,2,Conn_02x05_Odd_Even,
"J4, J5",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,PA_2p,
J6,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT_2p,
J7,JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical,1,HX_12p,
J8,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,PH_4p,
R1,0603,1,10k,
"R2, R22, R3, R7",0603,4,47k,
R23,0603,1,1.8k,
"R24, R34, R35, R36, R37, R38, R39, R4, R5, R6",0603,10,1k,
"R31, R32, R33",0603,3,R_Small,
SW1,TVGP01-G73BB,1,TVGP01-G73BB,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
"U10, U8",TSOT-23,2,MTN2306AN3,
U16,AE-BMX055,1,AE-BMX055,
U17,SOT-23,1,MTN2306AN3,
U2,TSOT-23-5,1,SIT2001B,
U22,SKRHAAE010,1, SKRHAAE010,
U23,PinHeader_1x03_P2.54mm_Vertical,1,SS-22F32G5,
"U3, U4",SOP-8_3.9x4.9mm_P1.27mm,2,AM2837,
U5,BP5293-xx,1,BP5293-33,
U6,BP5293-xx,1,BP5293-50,
U7,TSOP-6_1.65x3.05mm_P0.95mm,1,SSM6J808R,
